PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,
Jeff Withey,UTA,51,51,17.80%,0.9,46,18,40,45,45,11.80%,13.70%,5.90%,3.90%,43.10%,41.3
Dewayne Dedmon,ORL,58,63,23.40%,0.86,54,20,44,45.5,45.5,19.00%,11.10%,19.00%,1.60%,46.00%,51.9
Roy Hibbert,LAL,81,72,9.40%,0.68,49,19,57,33.3,33.3,12.50%,11.10%,11.10%,2.80%,36.10%,86.7
Larry Nance,LAL,63,46,11.50%,1.02,47,20,37,54.1,54.1,10.90%,10.90%,8.70%,2.20%,52.20%,16.8
Blake Griffin,LAC,35,48,11.20%,1.13,54,19,35,54.3,54.3,18.80%,8.30%,12.50%,0.00%,58.30%,6.7
Bobby Portis,CHI,62,64,13.90%,0.78,50,23,54,42.6,42.6,4.70%,10.90%,4.70%,0.00%,40.60%,69.1
Darrell Arthur,DEN,70,69,12.40%,0.7,48,16,50,32,32,17.40%,11.60%,15.90%,1.40%,36.20%,85.5
Gordon Hayward,UTA,80,49,7.40%,1.08,53,17,31,54.8,54.8,30.60%,14.30%,24.50%,8.20%,55.10%,11.7
Trey Lyles,UTA,80,57,11.90%,0.93,53,20,46,43.5,43.5,15.80%,5.30%,10.50%,1.80%,49.10%,36.5
Jordan Clarkson,LAL,79,58,6.10%,0.86,50,21,47,44.7,44.7,10.30%,8.60%,8.60%,0.00%,46.60%,49.7
Andrew Bogut,GSW,70,80,10.10%,0.76,61,25,57,43.9,43.9,13.80%,18.80%,12.50%,3.80%,40.00%,73
Dwyane Wade,MIA,74,48,8.30%,1.08,52,21,37,56.8,56.8,18.80%,10.40%,18.80%,6.30%,54.20%,11.5
Devin Booker,PHX,76,46,7.00%,1.09,50,16,29,55.2,55.2,28.30%,15.20%,21.70%,6.50%,52.20%,11.2
Kentavious Caldwell-Pope,DET,76,53,5.20%,1.06,56,22,45,48.9,48.9,17.00%,3.80%,15.10%,5.70%,52.80%,13.8
Chris Bosh,MIA,53,54,8.00%,0.93,50,23,45,51.1,51.1,3.70%,13.00%,3.70%,0.00%,46.30%,37.2
Trevor Booker,UTA,79,58,10.30%,0.93,54,15,38,39.5,39.5,24.10%,12.10%,17.20%,1.70%,48.30%,35.8
Raymond Felton,DAL,80,59,9.00%,0.85,50,22,46,47.8,47.8,8.50%,15.30%,6.80%,1.70%,44.10%,53.1
Lavoy Allen,IND,79,61,9.70%,0.89,54,22,52,42.3,42.3,13.10%,3.30%,11.50%,1.60%,45.90%,44.4
Reggie Jackson,DET,79,51,5.70%,1,51,22,48,45.8,45.8,9.80%,0.00%,9.80%,3.90%,49.00%,19.2
J.J. Barea,DAL,74,59,9.50%,0.9,53,25,47,53.2,53.2,8.50%,16.90%,8.50%,5.10%,44.10%,41.8
John Wall,WAS,77,60,6.20%,0.85,51,22,46,47.8,47.8,6.70%,16.70%,6.70%,0.00%,43.30%,52.8
Dante Cunningham,NOP,80,56,8.60%,0.96,54,21,44,47.7,47.7,14.30%,10.70%,14.30%,3.60%,48.20%,28.1
Jon Leuer,PHX,67,57,12.20%,0.91,52,19,43,44.2,44.2,17.50%,10.50%,15.80%,3.50%,47.40%,39
Kyle O'Quinn,NYK,65,58,14.40%,0.9,52,22,50,44,44,8.60%,5.20%,6.90%,0.00%,46.60%,42.7
Terrence Jones,HOU,50,49,14.30%,1.14,56,23,40,57.5,57.5,16.30%,8.20%,8.20%,6.10%,55.10%,5.6
Miles Plumlee,MIL,61,55,16.50%,0.96,53,21,43,48.8,48.8,18.20%,9.10%,18.20%,5.50%,47.30%,28.3
Tyler Zeller,BOS,61,71,19.70%,0.94,67,26,56,46.4,46.4,14.10%,9.90%,11.30%,2.80%,46.50%,31.1
Justise Winslow,MIA,78,74,8.60%,0.77,57,22,55,40,40,12.20%,16.20%,9.50%,2.70%,39.20%,72.2
Hollis Thompson,PHI,77,62,10.40%,1.06,66,27,49,55.1,55.1,17.70%,9.70%,12.90%,6.50%,53.20%,13.3
Chris Paul,LAC,75,62,7.10%,0.92,57,20,46,43.5,43.5,16.10%,11.30%,8.10%,1.60%,46.80%,38.3
Jabari Parker,MIL,76,67,8.00%,0.88,59,24,51,47.1,47.1,13.40%,14.90%,13.40%,4.50%,44.80%,45.7
Festus Ezeli,GSW,46,65,14.70%,0.94,61,28,56,50,50,4.60%,9.20%,4.60%,0.00%,47.70%,33.2
Jrue Holiday,NOP,65,64,8.00%,0.86,55,21,43,48.8,48.8,15.60%,18.80%,12.50%,1.60%,46.90%,51.4
Marcus Morris,DET,80,64,7.30%,0.86,55,21,48,43.8,43.8,15.60%,12.50%,14.10%,3.10%,45.30%,51.4
Dwight Howard,HOU,71,67,7.90%,0.82,55,21,47,44.7,44.7,16.40%,13.40%,13.40%,0.00%,43.30%,60.2
DeMarcus Cousins,SAC,65,89,8.30%,0.63,56,21,64,32.8,32.8,13.50%,18.00%,13.50%,3.40%,33.70%,90.3
Emmanuel Mudiay,DEN,68,52,6.60%,1.19,62,24,42,57.1,57.1,15.40%,5.80%,11.50%,1.90%,59.60%,4.1
Evan Turner,BOS,81,68,8.50%,0.88,60,26,58,44.8,44.8,7.40%,8.80%,5.90%,1.50%,44.10%,44.9
Isaiah Canaan,PHI,77,57,10.10%,1,57,23,47,48.9,48.9,15.80%,3.50%,12.30%,1.80%,50.90%,19.2
Isaiah Thomas,BOS,82,65,8.10%,0.88,57,21,40,52.5,52.5,18.50%,23.10%,13.80%,3.10%,47.70%,46.4
Will Barton,DEN,82,70,10.30%,0.87,61,23,54,42.6,42.6,12.90%,12.90%,10.00%,2.90%,42.90%,48.1
Gary Harris,DEN,76,69,8.80%,0.83,57,22,55,40,40,13.00%,10.10%,8.70%,2.90%,42.00%,58.9
Kevin Durant,OKC,72,70,8.40%,0.81,57,19,49,38.8,38.8,17.10%,12.90%,14.30%,0.00%,42.90%,61.7
Frank Kaminsky,CHA,81,59,8.50%,0.98,58,20,43,46.5,46.5,18.60%,8.50%,13.60%,0.00%,52.50%,25.3
Avery Bradley,BOS,76,63,7.50%,0.98,62,23,46,50,50,19.00%,12.70%,14.30%,4.80%,50.80%,25
Taj Gibson,CHI,73,77,9.80%,0.75,58,23,61,37.7,37.7,9.10%,11.70%,6.50%,0.00%,39.00%,76
Joffrey Lauvergne,DEN,59,70,17.60%,0.87,61,22,55,40,40,15.70%,7.10%,15.70%,1.40%,45.70%,48.1
Zach Randolph,MEM,68,75,10.00%,0.85,64,25,57,43.9,43.9,14.70%,13.30%,12.00%,4.00%,41.30%,52.6
Mirza Teletovic,PHX,79,71,12.10%,0.87,62,26,53,49.1,49.1,11.30%,16.90%,8.50%,2.80%,43.70%,47.2
Jonas Valanciunas,TOR,60,108,15.60%,0.61,66,29,87,33.3,33.3,9.30%,12.00%,7.40%,1.90%,31.50%,92
JR Smith,CLE,77,52,7.50%,1.25,65,22,39,56.4,56.4,26.90%,3.80%,23.10%,5.80%,63.50%,2.6
Evan Fournier,ORL,79,63,7.70%,1.03,65,25,46,54.3,54.3,14.30%,12.70%,12.70%,0.00%,54.00%,15.6
Aron Baynes,DET,81,73,11.00%,0.95,69,29,63,46,46,11.00%,5.50%,9.60%,2.70%,47.90%,30.9
John Henson,MIL,57,58,14.90%,1.12,65,22,39,56.4,56.4,25.90%,8.60%,19.00%,1.70%,58.60%,7.7
Rajon Rondo,SAC,72,67,7.60%,0.97,65,24,40,60,60,17.90%,25.40%,11.90%,3.00%,47.80%,26.5
Rudy Gay,SAC,70,83,10.70%,0.78,65,20,57,35.1,35.1,18.10%,15.70%,15.70%,2.40%,39.80%,67.9
CJ McCollum,POR,80,69,7.40%,1.01,70,25,50,50,50,17.40%,11.60%,15.90%,1.40%,52.20%,17.3
Nikola Mirotic,CHI,66,69,10.90%,1,69,26,55,47.3,47.3,15.90%,7.20%,13.00%,2.90%,50.70%,19.2
Kelly Olynyk,BOS,69,79,12.10%,0.86,68,28,65,43.1,43.1,16.50%,5.10%,11.40%,3.80%,43.00%,50.8
CJ Miles,IND,64,78,17.50%,0.85,66,26,56,46.4,46.4,11.50%,19.20%,10.30%,2.60%,42.30%,53.3
Tim Duncan,SAS,61,107,16.10%,0.7,75,34,87,39.1,39.1,5.60%,14.00%,4.70%,0.90%,36.40%,84.4
Giannis Antetokounmpo,MIL,80,78,8.60%,0.87,68,30,62,48.4,48.4,7.70%,14.10%,7.70%,1.30%,43.60%,47.6
Spencer Hawes,CHA,57,92,20.10%,0.76,70,29,69,42,42,13.00%,15.20%,12.00%,3.30%,39.10%,73.5
Matt Barnes,MEM,76,72,9.20%,0.99,71,26,55,47.3,47.3,15.30%,9.70%,12.50%,1.40%,50.00%,24.7
Timofey Mozgov,CLE,76,89,14.20%,0.78,69,30,69,43.5,43.5,9.00%,14.60%,5.60%,1.10%,41.60%,70.4
Dirk Nowitzki,DAL,75,99,10.80%,0.74,73,31,74,41.9,41.9,9.10%,17.20%,9.10%,1.00%,37.40%,78.3
David West,SAS,78,70,10.90%,1.03,72,28,54,51.9,51.9,15.70%,10.00%,15.70%,2.90%,52.90%,15.8
LaMarcus Aldridge,SAS,74,83,9.00%,0.84,70,30,67,44.8,44.8,9.60%,9.60%,7.20%,0.00%,43.40%,53.7
Bismack Biyombo,TOR,82,97,12.00%,0.72,70,27,71,38,38,15.50%,16.50%,15.50%,5.20%,37.10%,82.7
