PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,
DAngelo Russell,LAL,80,70,8.40%,0.8,56,23,61,37.7,41.8,4.30%,8.60%,4.30%,0.00%,37.10%,61.8
Devin Booker,PHX,76,67,10.30%,0.93,62,24,52,46.2,51.9,6.00%,16.40%,6.00%,0.00%,41.80%,38
Derrick Rose,CHI,66,67,9.60%,0.85,57,19,55,34.5,40,11.90%,6.00%,11.90%,0.00%,38.80%,52.5
Danny Green,SAS,79,66,9.50%,0.85,56,21,56,37.5,43.8,6.10%,10.60%,6.10%,1.50%,36.40%,53.1
Justise Winslow,MIA,78,72,8.40%,0.78,56,20,55,36.4,40,9.70%,13.90%,9.70%,0.00%,36.10%,66.9
Reggie Jackson,DET,79,59,6.60%,1,59,23,52,44.2,47.1,11.90%,5.10%,8.50%,5.10%,45.80%,24.5
Louis Williams,LAL,67,62,10.10%,0.92,57,22,52,42.3,51,6.50%,11.30%,6.50%,1.60%,40.30%,39.3
Tony Parker,SAS,72,65,8.90%,0.91,59,22,51,43.1,48,6.20%,15.40%,6.20%,0.00%,40.00%,42.8
Kent Bazemore,ATL,75,73,9.70%,0.78,57,18,53,34,37.7,13.70%,15.10%,13.70%,1.40%,37.00%,65.6
Ricky Rubio,MIN,76,61,7.00%,0.95,58,25,55,45.5,52.7,0.00%,9.80%,0.00%,0.00%,41.00%,34.1
Doug McDermott,CHI,81,60,12.00%,1.02,61,22,50,44,50,11.70%,6.70%,8.30%,1.70%,46.70%,22.5
Brandon Knight,PHX,52,59,8.60%,1,59,22,45,48.9,55.6,10.20%,13.60%,8.50%,0.00%,44.10%,24.5
Paul George,IND,81,62,6.20%,0.95,59,22,49,44.9,48,14.50%,9.70%,11.30%,3.20%,46.80%,33.7
Bojan Bogdanovic,BKN,79,64,9.80%,0.92,59,22,53,41.5,47.2,10.90%,10.90%,10.90%,4.70%,40.60%,38.8
Victor Oladipo,ORL,72,80,9.60%,0.74,59,21,56,37.5,42.9,8.80%,22.50%,6.30%,1.30%,33.80%,73.6
JJ Redick,LAC,75,77,12.00%,0.78,60,24,56,42.9,49.1,6.50%,23.40%,5.20%,2.60%,35.10%,66.3
Kobe Bryant,LAL,66,52,10.30%,1.29,67,24,44,54.5,63.6,11.50%,5.80%,11.50%,1.90%,55.80%,4
JR Smith,CLE,77,68,9.90%,0.93,63,24,53,45.3,51.9,5.90%,16.20%,4.40%,0.00%,41.20%,37.7
