PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,PERCENTILE
Luis Scola,TOR,76,44,7.50%,0.73,32,10,33,30.3,30.3,15.90%,11.40%,15.90%,2.30%,36.40%,76.3
Quincy Acy,SAC,59,46,15.00%,0.76,35,12,30,40,43.3,15.20%,19.60%,13.00%,0.00%,39.10%,68.9
Carmelo Anthony,NYK,72,48,8.00%,0.71,34,13,40,32.5,37.5,10.40%,8.30%,10.40%,4.20%,31.30%,79.7
Zach Randolph,MEM,68,53,7.10%,0.6,32,14,47,29.8,29.8,5.70%,7.50%,5.70%,1.90%,30.20%,91.7
Andrew Bogut,GSW,70,58,7.30%,0.62,36,10,46,21.7,23.9,12.10%,8.60%,12.10%,0.00%,29.30%,90.7
Norris Cole,NOP,45,31,8.60%,1.06,33,10,22,45.5,50,19.40%,12.90%,19.40%,3.20%,48.40%,11.8
Kyrie Irving,CLE,53,36,6.90%,0.97,35,12,27,44.4,48.1,13.90%,13.90%,13.90%,2.80%,44.40%,24.6
Tobias Harris,ORL,49,49,10.70%,1.02,50,21,43,48.8,54.7,6.10%,8.20%,6.10%,2.00%,46.90%,17.3
Shabazz Muhammad,MIN,82,50,10.80%,0.74,37,16,43,37.2,39.5,4.00%,10.00%,4.00%,0.00%,36.00%,73.2
Steve Blake,DET,58,30,7.10%,1.2,36,13,26,50,55.8,13.30%,3.30%,13.30%,3.30%,53.30%,3.5
Ed Davis,POR,81,40,5.10%,0.85,34,14,34,41.2,42.6,10.00%,7.50%,10.00%,2.50%,40.00%,49.1
Donald Sloan,BKN,61,30,6.30%,1.27,38,13,26,50,61.5,16.70%,6.70%,13.30%,10.00%,50.00%,2
Rodney Stuckey,IND,58,33,8.80%,1.12,37,13,30,43.3,53.3,9.10%,3.00%,9.10%,3.00%,45.50%,7.5
Brandon Bass,LAL,66,37,7.00%,0.95,35,15,32,46.9,48.4,8.10%,8.10%,8.10%,2.70%,45.90%,28.8
Isaiah Canaan,PHI,77,48,8.50%,0.73,35,10,32,31.3,32.8,16.70%,18.80%,10.40%,2.10%,35.40%,74.9
Chris Paul,LAC,75,52,6.00%,0.67,35,13,41,31.7,34.1,11.50%,13.50%,11.50%,3.80%,32.70%,85.5
Kyle Lowry,TOR,77,53,6.10%,0.66,35,14,40,35,36.3,9.40%,15.10%,7.50%,0.00%,34.00%,87.5
Chris Johnson,UTA,70,31,9.50%,1.16,36,9,18,50,58.3,25.80%,19.40%,25.80%,3.20%,51.60%,5.5
Johnny OBryant,MIL,66,34,11.90%,1.06,36,8,22,36.4,38.6,26.50%,8.80%,23.50%,0.00%,47.10%,12.3
Cody Zeller,CHA,73,40,5.40%,0.9,36,15,32,46.9,48.4,10.00%,12.50%,10.00%,2.50%,45.00%,36.7
Mario Chalmers,MEM,55,41,9.00%,0.88,36,8,23,34.8,37,31.70%,19.50%,26.80%,7.30%,41.50%,43.1
Kosta Koufos,SAC,78,45,6.20%,0.8,36,14,39,35.9,41,6.70%,6.70%,6.70%,0.00%,35.60%,60.4
Omer Asik,NOP,68,47,8.70%,0.83,39,15,42,35.7,35.7,12.80%,0.00%,12.80%,2.10%,42.60%,54.9
Jon Leuer,PHX,67,50,10.70%,0.78,39,13,40,32.5,36.3,12.00%,10.00%,10.00%,2.00%,36.00%,65.7
Michael Carter-Williams,MIL,54,48,8.00%,0.75,36,9,29,31,32.8,22.90%,16.70%,18.80%,0.00%,41.70%,70.8
David West,SAS,78,36,5.60%,1.03,37,15,30,50,53.3,13.90%,5.60%,8.30%,2.80%,50.00%,16.8
Hassan Whiteside,MIA,73,46,4.00%,0.93,43,20,42,47.6,48.8,4.30%,6.50%,4.30%,2.20%,45.70%,31.3
Eric Gordon,NOP,45,39,9.70%,0.95,37,12,29,41.4,46.6,15.40%,10.30%,7.70%,0.00%,46.20%,28.6
Gerald Green,MIA,69,42,8.30%,0.95,40,11,34,32.4,39.7,16.70%,4.80%,14.30%,2.40%,40.50%,27.9
Kenneth Faried,DEN,67,44,7.10%,0.84,37,15,38,39.5,42.1,6.80%,6.80%,4.50%,0.00%,40.90%,51.9
Monta Ellis,IND,81,45,5.00%,0.82,37,12,32,37.5,43.8,13.30%,15.60%,8.90%,0.00%,40.00%,56.1
